ID,Award Name,Organization,Purpose,Level of Study,Award Type,Award Amount,Deadline
9997621,"""A Better World"" Spirituality and Technology Advancement Scholarship",ChinaSona Foundation,To promote a better world through spiritual and technological advancements.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",July
9997551,"""A Better World"" Spirituality and Technology Advancement Scholarship",ChinaSona Foundation,To promote a better world through spiritual and technological advancements.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000 ",July
9999530,AATS Resident Critical Care Scholarships,American Association for Thoracic Surgery,To assist individuals to attend the Cardiovascular-Thoracic (CVT) Critical Care Conference.,Professional Development,Scholarship,$500 ,July
9989455,Abby Marlatt Scholarship,University of Wisconsin-Madison,To support UW-Madison students in their education.,Bachelor's Degree,Scholarship,N/A,July
9999963,Academy of Neonatal Nursing Conference Scholarships,The Academy of Neonatal Nursing,To recognize motivated ANN members by providing funds to attend the annual National Neonatal Nurses Meeting.,Professional Development,Scholarship,N/A,July
9999451,ACVO Best Resident Manuscript Awards,American College of Veterinary Ophthalmologists,"To recognize the best manuscripts written by residents in the categories of basic science, clinical research, and case report/review paper.",Graduate Degree,Prize,$500 ,July
9999393,ADA Junior Faculty Awards,American Diabetes Association,To support new investigators who are establishing their independence in diabetes research.,Professional Development,"Grant
Prize
Scholarship","$138,000 ",July
2015420,Ahead Together,Regia Foundation,"The Regia Foundation is an organization committed to
providing scholarships to deserving students. Our mission is to empower the
next generation of leaders by removing financial barriers to education,
allowing them to achieve their full potential.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$2,000 ",July
9999881,AiryHair Cosmetology Scholarship,AiryHair Inc.,To inspire future generations and help them achieve their goals.,Bachelor's Degree,Scholarship,"$1,500 ",July
9991914,Alaska Airlines Pilot Scholarship,Organization of Black Aerospace Professionals,To promote education in the aviation industry.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$2,500 ",July
9990147,Albinas Elskus Scholarship,Stained Glass Association of America,To support designated for an artist who displays the promise for creativity in the stained glass arts especially but not limited to the area of glass painting.,N/A,Scholarship,"$1,000 ",July
9998850,America Express Travel Scholarships,American Society of Travel Agents,To encourage the pursuit of education and the growth and development of tomorrow's travel/tourism work force.,Bachelor's Degree,Scholarship,"$1,000 ",July
9999564,American Association of State Troopers Scholarship Foundation First,American Association of State Troopers,To provide scholarships for the dependents of AAST trooper members.,Bachelor's Degree,Scholarship,$500 ,July
9999563,American Association of State Troopers Scholarship Foundation Second,American Association of State Troopers,To provide scholarships for the dependents of AAST trooper members.,Bachelor's Degree,Scholarship,"$1,000 ",July
9999200,AMS Annual Meeting Travel Grants,American Musicological Society,To aid non-affiliated scholars and those with institutional appointments but little or no financial support for conference travel.,Graduate Degree,Grant,"$350
$500",July
9999208,AMTA Past Presidents' Conference Scholar,American Music Therapy Association,To support AMTA members cover the cost of attending the AMTA annual conference.,Bachelor's Degree,Scholarship,$500 ,July
9999207,AMTA Student Conference Scholar,American Music Therapy Association,"To provide for conference expenses at the upcoming AMTA National Conference, free conference registration, and free participation in CMTE courses and Institutes.",Bachelor's Degree,Scholarship,$250 ,July
9998756,Anders Scholarship,Anders Group,To honor healthcare workers who are on the front lines of patient care every day.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,000 ",July
9999204,Anne Emery Kyllo Professional Scholarship,American Music Therapy Association,To support professional music therapists in their efforts to expand their training and professional interactions through participation in continuing education opportunities.,"Bachelor's Degree
Professional Development",Scholarship,$500 ,July
9998049,APW African Canadian Youth Scholarship,Black Business and Professional Association,To support Black Canadian students pursuing careers as artists.,Bachelor's Degree,Scholarship,N/A,July
9989655,Ardell French Memorial Scholarship,University of Alaska Anchorage,"To recognize academic performance, community involvement, athletic ability or other achievements.","Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9999205,Arthur Flagler Fultz Research Award,American Music Therapy Association,"To encourage, promote and fund music therapy research and to explore new and innovative music therapy treatments.",N/A,Grant,"$20,000 ",July
9997602,Artist-in-Residence Workspace Grant,Center for Book Arts,To promote experimentation in making book art.,Professional Development,Grant,"$750
$1,500",July
9998853,ASTR Research Fellowships,American Society for Theatre Research,To underwrite some of the research expenses of scholars undertaking projects significant to the field of theatre and/or performance studies.,N/A,Fellowship,"$3,000 ",July
9998226,Atlas Shrugged Essay Contest,Ayn Rand Institute,To encourage students to use and practice their writing skills through essay contests.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School",Prize,"$25,000 ",July
9999897,AWMA Louisiana Section Scholarship,Air & Waste Management Association Louisiana Section,To promote education in air quality and waste management.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500
$5,000",July
9998188,"AX Control, Inc. Academic Scholarship",AX Control Inc.,To recognize those who have taken steps to unite their communities and inspire others to do the same.,Bachelor's Degree,Scholarship,"$1,000 ",July
9998185,Ayn Rand Institute Anthem Essay Contest,Ayn Rand Institute,To support high school and college students for the best essay on Ayn Rand's fiction.,High School,Prize,"$2,000 ",July
9998184,Ayn Rand Institute Fountainhead Essay Contest,Ayn Rand Institute,To support and help high school students for the best essay on Ayn Rand's fiction.,High School,Prize,"$25,000 ",July
9990163,BACUS Scholarship,SPIE,To provide education assistance to students in field of microlithography.,"Graduate Degree
Professional Development",Scholarship,"$5,000 ",July
9998171,"Banafshe Law Firm, PC $1000 Scholarship","Banafshe Law Firm, PC","To provide for students who have overcome a challenge in life, performed community service, and demonstrates financial need.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",July
9998161,Baron and Budd Attorneys Mesothelioma Cancer Victims Memorial,Baron and Budd P.C.,To honor the legacy of mesothelioma victims and their loved ones but offering scholarships in their honor.,Bachelor's Degree,Scholarship,"$2,500 ",July
9998048,BBPA First Generation Scholarships,Black Business and Professional Association,To support students whose parents have not participated in post-secondary education studies are granted to individuals who are the first in his/her family to attend university.,Bachelor's Degree,Scholarship,N/A,July
9998047,BBPA Future Leaders Scholarships,Black Business and Professional Association,To support Black Canadian students pursuing postsecondary studies.,Bachelor's Degree,Scholarship,N/A,July
